	sen_id	adv_sentence
0	9	broomfield's distinctive  blundering'style could really help clear the case.
1	10	german cooking is not readily available when considering the world's best cuisine, mostly martha could make deutchland a popular destination for hungry tourists.
2	19	the jabs it employs are short, carefully placed and dead-center.
3	26	if you believe any of this, i can make you a real deal on leftover enron stock that will double in value a week from friday.
4	32	chelsea walls is a triple-espresso endurance challenge.
5	34	the suspense is palpable, the suspense is palpable, the suspense is palpable, the suspense is palpable, the suspense is palpable, the suspense is palpable 
6	37	american chai encourages rueful laughter at stereotypes only an indian-american would recognize.
7	60	if steven soderbergh's  solaris'is a failure it is a glorious failure.
8	71	it has all the excitement of eating oatmeal.
9	75	japanese alice through the looking glass, except it seems to take itself far more seriously.
10	121	the x potion gives the quickly named blossom, bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes.
11	140	you won't need a magic watch to stop time ; your dvd player will stop time for you.
12	161	if director michael dowse only superficially understands his characters, he doesn't hold them in contempt.
13	164	moretti's compelling anatomy of grief and the difficult process of adapting to loss.
14	178	this tenth feature is a big deal, indeed -- at least the third-best.
15	195	while there's something intrinsically funny about sir anthony hopkins saying  get in the car, bitch,'this jerry bruckheimer production has little else to offer. while there's something intrinsically funny about
16	202	the dragons are okay, not much fire in the script.
17	241	shiner, starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune, is certainly that.
18	247	's somewhat clumsy and too lethargically paced -- but its story about a mysterious creature with psychic abilities offers a solid build-up, a terrific climax, and some nice chills along the way.
19	274	the lower your expectations, the more you 'll enjoy it.
20	286	 frankly, my dear, i don't give a damn,'have never been more appropriate.
21	294	the ring comes on the heels of a similarly morose and humorless horror movie that, although flawed, is commended for its straight-ahead approach to creepiness.
22	331	the isle defies an easy categorization.
23	335	gilliam-esque film is also a troubling interpretation of ecclesiastes.
24	336	enough wasn't just a music video rather than a full-length movie.
25	337	Funny but perilously slight.
26	351	... routine, harmless diversion and little.
27	383	the lion king was a roaring success when it was released eight years ago, but on imax it seems better, not bigger.
28	390	harrison's flowers puts its heart in the right place, but its brains puts its heart in no particular place.
29	392	no screen fantasy-adventure has the showmanship of clones'last 45 minutes.
30	420	good film, but very glum.
31	449	As unseemly as its title suggests.
32	469	no telegraphing is too obvious or simplistic for this movie.
33	501	perry and hurley make inspiring efforts to breathe life into the disjointed, haphazard script by jay scherick and david ronn. though perry and hurley make inspiring efforts to breathe life into the disjointed
34	544	verbinski implements every hack-artist trick to give us the ooky-spookys.
35	564	 divine secrets of the ya ya sisterhood, '' except that the writing, acting and character development are a lot better.
36	584	minority report is exactly what the title, a report.
37	589	this riveting world war ii moral suspense story deals with racial prejudice.
38	628	if you're hard up for raunchy college humor, this is your ticket right here.
39	664	the structure the film takes may find matt damon and ben affleck once again looking at residuals as this officially completes a good will hunting trilogy.
40	665	anne fontaine's film is whether writer-director anne fontaine's film is a ghost story, an account of a nervous breakdown, a trip down memory lane, all three or none of the above.
41	677	so much facile technique, such cute ideas, so little movie.
42	678	david jacobson's dahmer.
43	682	the queen of the damned can not be said to suck.
44	700	the epicenter of cool, beautiful, thought-provoking foreign cinema is smack-dab in the middle of dubya's axis of evil.
45	709	huppert's intensity and focus has a raw exhilaration and focus about it, the piano teacher is anything but fun.
46	710	Nothing is sacred in this gut-buster.
47	716	reign of fire looks as if it was made without much thought -- and is best watched that way.
48	759	nickelodeon has made from its other animated tv series.
49	760	pumpkin is an outrageous dark satire on fraternity life. its ambitions far exceed the abilities of writer adam larson broder and co-director, tony r. abrams.
50	774	documentary which is emotionally diluted by focusing on the story's least interesting subject.
51	792	An absurdist comedy about alienation, separation and loss.
52	794	hilariously inept and ridiculous.
53	819	every dance becomes about seduction, where backstabbing is celebrated, and sex is currency.
54	839	the death report comes to share airtime alongside the farm report.
55	843	Rarely has leukemia looked so shimmering and benign.
56	865	a study in shades of gray, offering itself in subtle plot maneuvers...
