	sen_id	adv_sentence
0	0	.............................
1	17	,............................ 
2	19	the jabs it employs are short, carefully placed and dead-center.
3	20	,............................ 
4	29	............................ 
5	34	the suspense is palpable, the suspense is palpable, the suspense is palpable, the suspense is palpable, the suspense is palpable, the suspense is palpable 
6	37	american chai encourages rueful laughter at stereotypes only an indian-american would recognize.
7	38	-flick sentimentality.......................... 
8	39	.............................
9	41	and............................ 
10	50	............................. 
11	60	if steven soderbergh's  solaris is a failure it is a glorious failure.
12	69	............................. 
13	71	Oatmeal has all the excitement of eating oatmeal.
14	75	like a japanese alice through the looking glass, except it seems to take itself far more seriously................ 
15	82	,............................ 
16	92	and............................
17	105	.............................
18	126	.............................
19	136	. It has all the depth. It has all the depth. It has all the depth. It has all the depth. It has all the depth. It has all the depth.
20	140	, and you won't need a magic watch to stop time ; your dvd player will stop time for you.
21	142	............................ 
22	143	samira makhmalbaf's new film blackboards is much like a stream of consciousness. the ethos of samira makhmalbaf's new film blackboards is much like a
23	148	, even succeeds in instilling a wary sense of  there but for the grace of god,' even even even, even,,,, '' but for the grace of god 
24	161	if director michael dowse only superficially understands his characters, he doesn't hold them in contempt.
25	164	s compelling anatomy of grief and the difficult process of adapting to loss..s compelling anatomy of grief and the difficult process of adapting to loss. moretti's compelling anatomy of grief and the difficult process of adapting to loss.
26	191	the movie achieves as great an impact by showing them. (quills) by showing them..................
27	195	.  get in the car, bitch '... while there's something intrinsically funny about sir anthony hopkins saying  get in the car,'this jerry bruckheimer production has
28	205	Inside the film's conflict-powered plot there is a decent moral trying to get out, but it's not that, it's the tension.
29	212	                    .
30	227	.............................
31	236	Rather forgettable formula turns potentially forgettable formula into something strangely diverting.
32	241	shiner, starring michael caine as an aging british boxing promoter desperate for a taste of fame, is certainly that.
33	247	) -- but its story about a mysterious creature with psychic abilities offers a solid build-up, a terrific climax, and some nice chills along the way.
34	250	i don't mind being pulled, but don't treat me like a fool. i don't mind having my heartstrings pulled, but don't treat me like a fool.
