	sen_id	adv_sentence
0	19	the jabs it employs are short, carefully placed and dead-center.
1	26	if you believe any of this, i can make you a real deal on leftover enron stock that will double in value a week from friday.
2	37	american chai encourages rueful laughter at stereotypes only an indian-american would recognize.
3	60	if steven soderbergh's  solaris'is a failure it is a glorious failure.
4	71	it has all the excitement of eating oatmeal.
5	75	something akin to a japanese alice through the looking glass, except that it seems to take itself far more seriously.
6	140	sit through this one, and you won't need a magic watch to stop time ; your dvd player will do it for you.
7	161	if director michael dowse only superficially understands his characters, he doesn't hold them in contempt.
8	164	moretti's compelling anatomy of grief and the difficult process of adapting to loss.
9	195	while there's something intrinsically funny about sir anthony hopkins saying  get in the car, bitch,'this jerry bruckheimer production has little else to offer.
10	247	it's somewhat clumsy and too lethargically paced -- but its story about a mysterious creature with psychic abilities offers a solid build-up, a terrific climax, and some nice chills along the way.
11	274	the lower your expectations, the more you 'll enjoy it.
12	286	the words,  frankly, my dear, i don't give a damn,'have never been more appropriate.
13	335	this surreal gilliam-esque film is also a troubling interpretation of ecclesiastes.
14	337	funny but perilously slight.
15	351	... routine, harmless diversion and little else.
16	390	harrison's flowers puts its heart in the right place, but its brains are in no particular place at all.
17	392	no screen fantasy-adventure in recent memory has the showmanship of clones'last 45 minutes.
18	420	good film, but very glum.
19	425	(d) oesn't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful.
20	449	as unseemly as its title suggests.
21	461	with its dogged hollywood naturalism and the inexorable passage of its characters toward sainthood, windtalkers is nothing but a sticky-sweet soap.
22	469	no telegraphing is too obvious or simplistic for this movie.
23	544	verbinski implements every hack-artist trick to give us the ooky-sookies.
24	584	minority report is exactly what the title indicates, a report.
25	589	this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms.
26	596	does paint some memorable images..., but makhmalbaf keeps her distance from the characters.
27	628	if you're hard up for raunchy college humor, this is your ticket right here.
28	664	the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned.
29	677	so much facile technique, such cute ideas, so little movie.
30	700	further proof that the epicenter of cool, beautiful, thought-provoking foreign cinema is smack-dab in the middle of dubya's axis of evil.
31	710	nothing is sacred in this gut-buster.
32	716	reign of fire looks as if it was made without much thought -- and is best watched that way.
33	760	pumpkin means to be an outrageous dark satire on fraternity life, but its ambitions far exceed the abilities of writer adam larson broder and his co-director, tony r. abrams, in their feature debut.
34	774	intriguing documentary which is emotionally diluted by focusing on the story's least interesting subject.
35	792	an absurdist comedy about alienation, separation and loss.
36	794	hilariously inept and ridiculous.
37	819	every dance becomes about seduction, where backstabbing and betrayals are celebrated, and sex is currency.
38	843	rarely has leukemia looked so shimmering and benign.
39	865	a study in shades of gray, offering itself in subtle plot maneuvers...
